"Source:","/Users/alanlow/Documents/MicroMouse-PIC/Hardware/MicroMouse.sch"
"Date:","2021 April 03, Saturday 06:29:22"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/private/var/folders/mz/lkjtnr8j56n6rt0qkjgnz1ph0000gn/T/AppTranslocation/6D53D0BC-9EA6-4C71-91B6-1D732B55A821/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","65"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C5, C6, ","3","10uF","C_Small","","Unpolarized capacitor, small symbol",""
"C2, ","1","33nF","C_Small","","Unpolarized capacitor, small symbol",""
"C3, ","1","1700pF","C_Small","","Unpolarized capacitor, small symbol",""
"C7, C8, C11, C9, C10, ","5","1uF","C_Small","","Unpolarized capacitor, small symbol",""
"C12, C14, C13, ","3","0.1uF","C_Small","","Unpolarized capacitor, small symbol",""
"C15, C16, ","2","22pF","C_Small","","Unpolarized capacitor, small symbol",""
"D1, ","1","MBRA210LT","D_Schottky_Small_ALT","","Schottky diode, small symbol, filled shape",""
"D2, ","1","MMSZ5231B-7-F","D_Zener_Small_ALT","","Zener diode, small symbol, filled shape",""
"D3, ","1","L196L-LIC-TR","LED_Small","","Light emitting diode, small symbol",""
"FB1, ","1","120R","Ferrite_Bead_Small","","Ferrite bead, small symbol",""
"J1, ","1","TSW-106-25-S-S-RA","Conn_01x06_Male","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","68024-102HLF","Conn_01x02_Male","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","78511-106HLF","Conn_01x06_Male","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, J4, ","2","B5B-XH-A(LF)(SN)","Conn_01x05_Male","","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","PPTC051LFBN-RC","Conn_01x05_Female","","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","744878004","744878004","","INDUCT ARRAY 2 COIL 4.7UH SMD",""
"Q1, ","1","NXV75UPR","Q_PMOS_GSD","","P-MOSFET transistor, gate/source/drain",""
"R1, ","1","0R","R_Small","","Resistor, small symbol",""
"R2, C4, ","2","DNP","C_Small","","Unpolarized capacitor, small symbol",""
"R3, ","1","8.2k","R_Small","","Resistor, small symbol",""
"R4, R10, R12, R20, R22, R16, RV2, RV3, R17, R15, R11, RV1, ","12","10k","R_POT_TRIM","","Trim-potentiometer",""
"R5, ","1","12k","R_Small","","Resistor, small symbol",""
"R6, R13, ","2","1k","R_Small","","Resistor, small symbol",""
"R7, R8, ","2","100k","R_Small","","Resistor, small symbol",""
"R9, ","1","30.5k","R_Small","","Resistor, small symbol",""
"R18, ","1","220k","R_Small","","Resistor, small symbol",""
"R21, R19, R14, R23, ","4","150R","R_Small","","Resistor, small symbol",""
"SW5, ","1","L101011MS02Q","SW_DIP_x01","","1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"SW8, ","1","SPST","SPST","","",""
"U1, ","1","ADP1612","ADP1612","","650 kHz /1.3 MHz Step-Up PWM DC-to-DC Switching Converters",""
"U2, ","1","PIC16F886-E_SO","PIC16F886-E_SO","","IC MCU 8BIT 14KB FLASH 28SOIC",""
"U3, ","1","ULN2803ADW","ULN2803ADW","","ULN2803A DARLINGTON TRANSISTOR A",""
"U4, ","1","74LVC1G332GV-Q100H","74LVC1G332GV-Q100H","","",""
"U5, ","1","ADCMP393ARZ","ADCMP393ARZ","","IC COMPARATOR QUAD RRO 14SOIC",""
"U7, U8, U6, ","3","TCRT1000","TCRT1000","","SENSOR OPTO TRANS 4MM REFL THPCB",""
"Y1, ","1","32.768KHZ","Crystal_Small","","Two pin crystal, small symbol",""
